id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2015-894087,17/11/2015,1,Vente,160000,17,B,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,70,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-893670,13/11/2015,1,Vente,215000,25,None,ALL PIROUETTE,441,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,28,66,None,nan,None,None,None,None,None,None,1,2,Appartement,67,3,None,None,None,None,nan,2.639724,48.848981,000AE
2015-893670,13/11/2015,1,Vente,215000,9001,None,RUE DU BEAUREGARD,42,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,36,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.639724,48.848981,000AE
2015-894028,5/11/2015,1,Vente,155000,7,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,18,59.83,None,nan,None,None,None,None,None,None,1,2,Appartement,64,2,None,None,None,None,nan,2.644406,48.844072,000AE
2015-894028,5/11/2015,1,Vente,155000,7,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,76,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644406,48.844072,000AE
2015-893333,30/10/2015,1,Vente,210000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,22,96.02,None,nan,None,None,None,None,None,None,1,2,Appartement,94,5,None,None,None,None,nan,2.644128,48.846618,000AE
2015-893333,30/10/2015,1,Vente,210000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,59,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644128,48.846618,000AE
2015-893344,19/10/2015,1,Vente,190000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,7,82.89,None,nan,None,None,None,None,None,None,1,2,Appartement,82,4,None,None,None,None,nan,2.644128,48.846618,000AE
2015-893344,19/10/2015,1,Vente,190000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,52,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644128,48.846618,000AE
2015-892921,1/10/2015,1,Vente,185000,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,117,68.39,None,nan,None,None,None,None,None,None,1,2,Appartement,68,3,None,None,None,None,nan,2.642604,48.844414,000AE
2015-892921,1/10/2015,1,Vente,185000,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,148,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-892693,21/09/2015,1,Vente,195000,15,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,30,65.65,None,nan,None,None,None,None,None,None,1,2,Appartement,66,3,None,None,None,None,nan,2.642604,48.844414,000AE
2015-892693,21/09/2015,1,Vente,195000,17,B,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,49,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-892303,8/09/2015,1,Vente,174220,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,101,58.17,170,nan,None,None,None,None,None,None,2,2,Appartement,58,3,None,None,None,None,nan,2.642604,48.844414,000AE
2015-892303,8/09/2015,1,Vente,174220,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,152,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-892104,3/09/2015,1,Vente,186000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,18,80.6,32,nan,None,None,None,None,None,None,2,2,Appartement,80,4,None,None,None,None,nan,2.644128,48.846618,000AE
2015-892104,3/09/2015,1,Vente,186000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,55,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644128,48.846618,000AE
2015-891766,3/09/2015,1,Vente,1,nan,None,PROM DU GALION,177,77200,77468,Torcy,77,None,None,77468000AE0123,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,10,2.641734,48.847146,000AE
2015-891766,3/09/2015,1,Vente,1,nan,None,PROM DU GALION,177,77200,77468,Torcy,77,None,None,77468000AE0124,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,29,2.64199,48.847326,000AE
2015-891766,3/09/2015,1,Vente,1,nan,None,PROM DU GALION,177,77200,77468,Torcy,77,None,None,77468000AE0125,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,T,terres,None,None,386,2.6418,48.847276,000AE
2015-891146,3/08/2015,1,Vente,110000,nan,None,None,None,None,77468,Torcy,77,None,None,77468000AE0053,None,15,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,None,None,None,None,nan,2.645525,48.843698,000AE
2015-891146,3/08/2015,1,Vente,110000,nan,None,None,None,None,77468,Torcy,77,None,None,77468000AE0053,None,17,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,None,None,None,None,nan,2.645525,48.843698,000AE
2015-890961,30/07/2015,1,Vente,205000,2,None,RUE VICTOR HUGO,491,77200,77468,Torcy,77,None,None,77468000AE0057,None,None,43,79.07,None,nan,None,None,None,None,None,None,1,2,Appartement,82,4,None,None,None,None,nan,2.644865,48.84416,000AE
2015-890990,30/07/2015,1,Vente,163000,2,None,RUE VICTOR HUGO,491,77200,77468,Torcy,77,None,None,77468000AE0057,None,None,40,65.34,None,nan,None,None,None,None,None,None,1,2,Appartement,67,3,None,None,None,None,nan,2.644865,48.84416,000AE
2015-890961,30/07/2015,1,Vente,205000,2,None,RUE VICTOR HUGO,491,77200,77468,Torcy,77,None,None,77468000AE0057,None,None,88,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644865,48.84416,000AE
2015-890990,30/07/2015,1,Vente,163000,2,None,RUE VICTOR HUGO,491,77200,77468,Torcy,77,None,None,77468000AE0057,None,None,83,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644865,48.84416,000AE
2015-891574,29/07/2015,1,Vente,207000,7,None,ALL PIROUETTE,441,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,234,83.65,None,nan,None,None,None,None,None,None,1,2,Appartement,80,4,None,None,None,None,nan,2.639724,48.848981,000AE
2015-891574,29/07/2015,1,Vente,207000,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,33,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
2015-889366,29/05/2015,1,Vente,180000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,2,65.16,None,nan,None,None,None,None,None,None,1,2,Appartement,66,3,None,None,None,None,nan,2.644128,48.846618,000AE
2015-889800,29/05/2015,1,Vente,226000,3,None,ALL PIROUETTE,441,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,265,83.17,None,nan,None,None,None,None,None,None,1,2,Appartement,81,4,None,None,None,None,nan,2.639724,48.848981,000AE
2015-889366,29/05/2015,1,Vente,180000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,64,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644128,48.846618,000AE
2015-889800,29/05/2015,1,Vente,226000,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,9,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
2015-889490,28/05/2015,1,Vente,239250,23,None,ALL PIROUETTE,441,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,29,nan,None,nan,None,None,None,None,None,None,1,2,Appartement,95,5,None,None,None,None,nan,2.639724,48.848981,000AE
2015-889490,28/05/2015,1,Vente,239250,9001,None,RUE DU BEAUREGARD,42,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,32,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.639724,48.848981,000AE
2015-889874,26/05/2015,1,Vente,176000,2,None,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,292,85.3,None,nan,None,None,None,None,None,None,1,2,Appartement,82,4,None,None,None,None,nan,2.639724,48.848981,000AE
2015-889874,26/05/2015,1,Vente,176000,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,3,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
2015-888912,18/05/2015,1,Vente,103000,15,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,24,27.97,None,nan,None,None,None,None,None,None,1,2,Appartement,28,1,None,None,None,None,nan,2.642604,48.844414,000AE
2015-888912,18/05/2015,1,Vente,103000,13,None,RUE VICTOR HUGO,491,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,217,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-888911,15/05/2015,1,Vente,180000,10,None,CRS DE L ARCHE GUEDON,8,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,208,68.92,None,nan,None,None,None,None,None,None,1,2,Appartement,67,3,None,None,None,None,nan,2.639724,48.848981,000AE
2015-888911,15/05/2015,1,Vente,180000,9001,None,RUE DU BEAUREGARD,42,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,89,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.639724,48.848981,000AE
2015-889313,4/05/2015,1,Vente,8500,7,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,111,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644406,48.844072,000AE
2015-888538,31/03/2015,1,Vente,220000,15,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,33,78.85,None,nan,None,None,None,None,None,None,1,2,Appartement,79,4,None,None,None,None,nan,2.642604,48.844414,000AE
2015-888538,31/03/2015,1,Vente,220000,13,None,RUE VICTOR HUGO,491,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,224,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-888538,31/03/2015,1,Vente,220000,17,B,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,58,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-887804,20/03/2015,1,Vente,175000,10,None,CRS DE L ARCHE GUEDON,8,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,205,102.86,None,nan,None,None,None,None,None,None,1,2,Appartement,99,5,None,None,None,None,nan,2.639724,48.848981,000AE
2015-887804,20/03/2015,1,Vente,175000,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,19,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
2015-887546,23/01/2015,1,Vente,172000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,20,nan,None,nan,None,None,None,None,None,None,1,2,Appartement,83,4,None,None,None,None,nan,2.644128,48.846618,000AE
2015-887546,23/01/2015,1,Vente,172000,3,None,ALL DE LA CARAVELLE,84,77200,77468,Torcy,77,None,None,77468000AE0158,None,None,53,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644128,48.846618,000AE
2014-822998,16/12/2014,1,Vente,196000,9,None,ALL PIROUETTE,441,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,232,nan,None,nan,None,None,None,None,None,None,1,2,Appartement,82,4,None,None,None,None,nan,2.639724,48.848981,000AE
2014-822913,16/12/2014,1,Vente,12000,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,23,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
2014-822998,16/12/2014,1,Vente,196000,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,30,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
2014-821616,13/11/2014,1,Vente,60500,2,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0097,None,None,207,19.18,None,nan,None,None,None,None,None,None,1,2,Appartement,19,1,None,None,None,None,nan,2.643909,48.844734,000AE
2014-821804,5/11/2014,1,Vente,202000,11,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,37,62.3,None,nan,None,None,None,None,None,None,1,2,Appartement,63,3,None,None,None,None,nan,2.644406,48.844072,000AE
2014-821804,5/11/2014,1,Vente,202000,7,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,91,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644406,48.844072,000AE
2014-819962,29/08/2014,1,Vente,161700,2,None,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,293,70.18,None,nan,None,None,None,None,None,None,1,2,Appartement,67,3,None,None,None,None,nan,2.639724,48.848981,000AE
2014-819962,29/08/2014,1,Vente,161700,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,2,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
2014-819916,26/08/2014,1,Vente,267250,11,None,ALL LA PEROUSE,275,77200,77468,Torcy,77,None,None,77468000AE0021,None,None,18,85.81,None,nan,None,None,None,None,None,None,1,1,Maison,83,3,S,sols,None,None,116,2.640977,48.847877,000AE
2014-819670,12/08/2014,1,Vente,207500,3,None,ALL PIROUETTE,441,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,268,85.63,None,nan,None,None,None,None,None,None,1,2,Appartement,82,4,None,None,None,None,nan,2.639724,48.848981,000AE
2014-819670,12/08/2014,1,Vente,207500,1,B,ALL DES VERGERS,489,77200,77468,Torcy,77,None,None,77468000AE0004,None,None,28,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.641593,48.849258,000AE
