fromage,fromageLabel,type,typeLabel
http://www.wikidata.org/entity/Q3002364,Q3002364,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3002364,Q3002364,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3006035,Q3006035,http://www.wikidata.org/entity/Q1570052,processed cheese
http://www.wikidata.org/entity/Q3006035,Q3006035,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3006035,Q3006035,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3006261,Q3006261,http://www.wikidata.org/entity/Q1531597,raw milk cheese
http://www.wikidata.org/entity/Q3006261,Q3006261,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3006261,Q3006261,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3006261,Q3006261,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3006322,Q3006322,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3010802,Q3010802,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q3010802,Q3010802,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3022124,Q3022124,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3022124,Q3022124,http://www.wikidata.org/entity/Q3323634,fresh cheese
http://www.wikidata.org/entity/Q3072317,Q3072317,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3077304,Q3077304,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3077304,Q3077304,http://www.wikidata.org/entity/Q3088328,pressed half-cooked cheese
http://www.wikidata.org/entity/Q3077304,Q3077304,http://www.wikidata.org/entity/Q19359994,Swiss cheese
http://www.wikidata.org/entity/Q3080065,Q3080065,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3080069,Q3080069,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3080069,Q3080069,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3080069,Q3080069,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3088301,Q3088301,http://www.wikidata.org/entity/Q1570052,processed cheese
http://www.wikidata.org/entity/Q3088301,Q3088301,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3088315,Q3088315,http://www.wikidata.org/entity/Q746471,blue cheese
http://www.wikidata.org/entity/Q3088315,Q3088315,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3088320,Q3088320,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3088358,Q3088358,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3088358,Q3088358,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q3099801,Q3099801,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3111735,Q3111735,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3111735,Q3111735,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3114836,Q3114836,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3114836,Q3114836,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3115711,Q3115711,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3115711,Q3115711,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3115711,Q3115711,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3115731,Q3115731,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3115731,Q3115731,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3115731,Q3115731,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3115900,Q3115900,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3183516,Q3183516,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3183953,Q3183953,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3183953,Q3183953,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3183953,Q3183953,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3194531,Q3194531,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3194531,Q3194531,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3194531,Q3194531,http://www.wikidata.org/entity/Q3088330,pressed cooked cheese
http://www.wikidata.org/entity/Q3197332,Q3197332,http://www.wikidata.org/entity/Q1570052,processed cheese
http://www.wikidata.org/entity/Q3197332,Q3197332,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3197332,Q3197332,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3218006,Q3218006,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3218006,Q3218006,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3219860,Q3219860,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3219860,Q3219860,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3219860,Q3219860,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3220623,Q3220623,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3220623,Q3220623,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3220623,Q3220623,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3222524,Q3222524,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3222524,Q3222524,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3222524,Q3222524,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3223010,Q3223010,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3223010,Q3223010,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3223010,Q3223010,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3224820,Q3224820,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3224820,Q3224820,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3224820,Q3224820,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3225331,Q3225331,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3225331,Q3225331,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3225331,Q3225331,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3257120,Q3257120,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3260145,Q3260145,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3260145,Q3260145,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3260145,Q3260145,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3265866,Q3265866,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q3265866,Q3265866,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3272044,Q3272044,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3272044,Q3272044,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3294584,Q3294584,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3317334,Q3317334,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3317334,Q3317334,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q3322475,Q3322475,http://www.wikidata.org/entity/Q746471,blue cheese
http://www.wikidata.org/entity/Q3322475,Q3322475,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3322475,Q3322475,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3322910,Q3322910,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q3322910,Q3322910,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3322910,Q3322910,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3322910,Q3322910,http://www.wikidata.org/entity/Q3088326,natural-rind soft cheese
http://www.wikidata.org/entity/Q3323171,Q3323171,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3323171,Q3323171,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3323171,Q3323171,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3325612,Q3325612,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3325612,Q3325612,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3325612,Q3325612,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3325622,Q3325622,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3325622,Q3325622,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3325622,Q3325622,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q33525061,Q33525061,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q33525061,Q33525061,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q3358854,Q3358854,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q3358854,Q3358854,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3358854,Q3358854,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3358854,Q3358854,http://www.wikidata.org/entity/Q3088326,natural-rind soft cheese
http://www.wikidata.org/entity/Q3362367,Q3362367,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3368658,Q3368658,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3373165,Q3373165,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3373166,Q3373166,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3373166,Q3373166,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3373167,Q3373167,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3373167,Q3373167,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q3373172,Q3373172,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3373172,Q3373172,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3373172,Q3373172,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3375679,Q3375679,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q3375679,Q3375679,http://www.wikidata.org/entity/Q746471,blue cheese
http://www.wikidata.org/entity/Q3375679,Q3375679,http://www.wikidata.org/entity/Q1531597,raw milk cheese
http://www.wikidata.org/entity/Q3375679,Q3375679,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3375679,Q3375679,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3375679,Q3375679,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3375682,Q3375682,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3387785,Q3387785,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3387785,Q3387785,http://www.wikidata.org/entity/Q2223649,French cheese
